,Show,Date,Doors,Location,Address,Link
0,Superchunk,"Sat, June 11, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/421045-superchunk
1,Paul Anka  – Greatest Hits: His Way!,"Sat, June 11, 2022 at 08:00 PM",10:48 PM,Ocean Casino Resort,"500 Boardwalk, Atlantic City, NJ 08401",https://www.bowerypresents.com/greater-philly/shows/detail/434176-paul-anka-greatest-hits-his-way
2,!!! (Chk Chk Chk),"Sat, June 11, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/427178-chk-chk-chk
3,Shaun of the Dead,"Mon, June 13, 2022 at 07:30 PM",06:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/431214-shaun-of-the-dead
4,It Was 50 Years Ago Today: A Tribute To The Beatles,"Tue, June 14, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/428681-it-was-50-years-ago-today-a-tribute-to-the-beatles
5,DE'WAYNE,"Tue, June 14, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/428962-dewayne
6,It Was 50 Years Ago Today: A Tribute to The Beatles,"Wed, June 15, 2022 at 08:00 PM",07:00 PM,Santander Performing Arts Center,"700 Penn St., Reading, PA 19603",https://www.bowerypresents.com/greater-philly/shows/detail/429335-it-was-50-years-ago-today-a-tribute-to-the-beatles
7,Justin Bieber,"Thu, June 16, 2022 at 07:30 PM",06:30 PM,Wells Fargo Center,"3601 S Broad St, Philadelphia, PA 19148",https://www.bowerypresents.com/greater-philly/shows/detail/396053-justin-bieber
8,They Might Be Giants,"Thu, June 16, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/395303-they-might-be-giants
9,Tiwa Savage,"Thu, June 16, 2022 at 08:00 PM",07:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/429238-tiwa-savage
10,The O'Jays,"Fri, June 17, 2022 at 07:30 PM",06:30 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/394965-the-ojays
11,This Might Get Weird,"Fri, June 17, 2022 at 07:30 PM",06:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/410873-this-might-get-weird
12,Get The Led Out,"Fri, June 17, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/392307-get-the-led-out
13,Strand of Oaks,"Fri, June 17, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/427209-strand-of-oaks
14,Belle & Sebastian,"Fri, June 17, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/427428-belle-sebastian
15,Lawrence and MisterWives ,"Sat, June 18, 2022 at 07:30 PM",06:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/428957-lawrence-and-misterwives
16,Get The Led Out,"Sat, June 18, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/392311-get-the-led-out
17,Tune-Yards,"Sat, June 18, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/429972-tune-yards
18,Blippi the Musical,"Sun, June 19, 2022 at 02:00 PM",01:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/427452-blippi-the-musical
19,George Thorogood & The Destroyers,"Wed, June 22, 2022 at 07:30 PM",06:30 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/427943-george-thorogood-the-destroyers
20,Midnight Oil,"Wed, June 22, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/426971-midnight-oil
21,JONATHAN RICHMAN featuring TOMMY LARKINS on the drums!,"Wed, June 22, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/429973-jonathan-richman-featuring-tommy-larkins-on-the-drums
22,Charger,"Wed, June 22, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433093-charger
23,Everclear,"Thu, June 23, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/429902-everclear
24,Failure,"Thu, June 23, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/423163-failure
25,Ty Segall & Freedom Band,"Fri, June 24, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/410856-ty-segall-freedom-band
26,The Music of Cream,"Fri, June 24, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/416543-the-music-of-cream
27,Billy Ray Cyrus,"Fri, June 24, 2022 at 08:00 PM",07:00 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/432663-billy-ray-cyrus
28,Firefly Festival Pop Up Party,"Fri, June 24, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/435852-firefly-festival-pop-up-party
29,The Fab Faux with THE HOGSHEAD HORNS AND THE CREME TANGERINE STRINGS,"Sat, June 25, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/418452-the-fab-faux-with-the-hogshead-horns-and-the-creme-tangerine-strings
30,Dave Attell,"Sat, June 25, 2022 at 08:00 PM",07:00 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/423322-dave-attell
31,RX Bandits,"Sat, June 25, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/428715-rx-bandits
32,Emo Nite,"Sat, June 25, 2022 at 09:00 PM",09:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/427964-emo-nite
33,Memphis May Fire,"Sun, June 26, 2022 at 07:00 PM",06:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433119-memphis-may-fire
34,American Aquarium,"Mon, June 27, 2022 at 07:30 PM",08:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/431028-american-aquarium
