,Show,Date,Showtime,Sold Out?,Canceled?,Postponed?,Link
0,Bishop Briggs & MisterWives: The Don't Look Down Tour,9/16/2023,07:30 PM,Tickets Available,,,https://concerts.livenation.com/bishop-briggs-misterwives-the-dont-look-philadelphia-pennsylvania-09-16-2023/event/02005E9CE4DA63AE
1,Anime Night (18+ Event),9/16/2023,09:00 PM,Tickets Available,,,https://concerts.livenation.com/anime-night-18-event-philadelphia-pennsylvania-09-16-2023/event/02005F19E8F096E6
2,ALT 104.5 Presents: All Time Low,9/17/2023,06:30 PM,Tickets Available,,,https://concerts.livenation.com/alt-1045-presents-all-time-low-philadelphia-pennsylvania-09-17-2023/event/02005E94CBDB4D1B
3,Phabo - Don't Get Too Cozy Tour,9/17/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/phabo-dont-get-too-cozy-tour-philadelphia-pennsylvania-09-17-2023/event/02005EC7C52F49FA
4,Vallis Alps,9/18/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/vallis-alps-philadelphia-pennsylvania-09-18-2023/event/02005EBF9EE73030
5,Tim Atlas,9/19/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/tim-atlas-philadelphia-pennsylvania-09-19-2023/event/02005EAAABB1660D
6,ZHU - The Grace Tour 2023,9/19/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/zhu-the-grace-tour-2023-philadelphia-pennsylvania-09-19-2023/event/02005ECC91DF17D9
7,The Breeders,9/20/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/the-breeders-philadelphia-pennsylvania-09-20-2023/event/02005ED796E2351A
8,That Mexican OT - Lonestar Luchador Tour,9/20/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/that-mexican-ot-lonestar-luchador-tour-philadelphia-pennsylvania-09-20-2023/event/02005F029AAB2B9F
9,Russell Dickerson,9/21/2023,08:00 PM,Tickets Available,,,https://concerts.livenation.com/russell-dickerson-philadelphia-pennsylvania-09-21-2023/event/02005EA8BF41335A
